login_hour,files_accessed,usb_usage,login_location,emails_sent,is_threat
8,190,1,Unknown,98,1
16,28,0,India,5,0
20,9,1,Germany,9,0
12,74,0,India,7,0
13,10,0,India,1,0
9,68,1,India,17,0
15,71,0,India,8,0
15,100,0,India,5,0
20,47,0,India,10,0
11,16,0,India,19,0
20,51,0,Germany,7,0
10,86,0,Germany,3,0
9,40,0,India,16,0
20,46,0,India,2,0
10,110,0,India,4,0
11,51,0,India,4,0
0,182,1,USA,47,1
17,35,0,Germany,16,0
10,112,1,India,11,0
14,10,0,Germany,12,0
17,100,0,Germany,10,0
2,389,1,India,64,1
13,84,1,India,8,0
13,341,1,Russia,86,1
11,116,0,Germany,10,0
16,62,0,India,18,0
12,29,0,Germany,11,0
14,96,0,India,3,0
16,95,0,India,6,0
16,93,0,India,18,0
11,5,0,India,7,0
13,107,0,India,15,0
11,113,0,India,7,0
7,269,1,India,22,1
10,72,0,India,4,0
12,98,0,Germany,6,0
13,107,0,India,11,0
12,49,0,Germany,13,0
6,442,0,Unknown,22,1
15,13,0,India,4,0
14,6,0,India,2,0
11,119,1,Germany,12,0
16,109,0,Germany,19,0
13,59,0,India,2,0
17,58,0,Germany,1,0
14,29,1,Germany,18,0
13,64,0,India,4,0
10,42,0,India,14,0
14,80,0,Germany,6,0
17,16,0,India,16,0
20,80,0,Germany,7,0
9,103,0,India,17,0
9,106,0,India,1,0
9,30,0,Germany,17,0
15,99,0,Germany,16,0
16,79,0,India,1,0
16,40,0,India,4,0
20,115,0,India,3,0
15,109,0,India,11,0
15,79,0,India,13,0
9,404,1,Russia,91,1
12,8,0,Germany,19,0
19,470,1,China,60,1
13,88,1,India,8,0
10,16,0,India,11,0
11,73,1,Germany,12,0
15,100,0,India,11,0
14,339,1,USA,36,1
11,87,0,India,15,0
1,251,1,China,89,1
23,129,1,Unknown,53,1
12,117,0,India,19,0
12,104,0,Germany,2,0
11,62,0,India,19,0
16,44,0,India,8,0
9,32,0,India,4,0
20,49,0,India,6,0
16,65,0,Germany,16,0
9,16,1,India,13,0
9,27,0,Germany,15,0
17,56,0,Germany,16,0
16,117,1,Unknown,80,1
15,319,1,India,74,1
